連番,索引番号,表示山名,表示よみ,地理院山名,山頂名,標高(m),種別,都道府県,緯度,経度,百名山,二百名山,三百名山,百高山,別名(検索用),照合方法,確認状態,備考
391,364,菰釣山,こもつるしやま,菰釣山,,1379,標高点,神奈川県 山梨県,35.463695,138.978497,,,,,,,その他,
392,365,三ッ峠山,みつとうげやま,三ツ峠山,,1785,三角点,山梨県,35.549272,138.809204,,1,,,三ツ峠山,二百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
393,366-1,黒岳,くろだけ,黒岳,,1793,三角点,山梨県,35.552071,138.749436,,,1,,,三百名山:自動(名前一致・標高一致・距離0.0km・県一致),自動一致,
394,366-2,黒岳（釈迦ヶ岳）,くろたけ（しゃかがたけ）,黒岳,釈迦ヶ岳,1641,標高点,山梨県,35.562904,138.720940,,,,,黒岳/釈迦ヶ岳,,その他,
395,367,節刀ヶ岳,せっとうがたけ,節刀ヶ岳,,1736,標高点,山梨県,35.528490,138.683427,,,,,,,その他,
396,368,富士山,ふじさん,富士山,剣ヶ峯,3776,測定点,山梨県 静岡県,35.360738,138.727373,1,,,1,剣ヶ峯,百名山:自動(名前一致・よみ一致・標高一致・県一致) / 百高山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
397,369,愛鷹山,あしたかやま,愛鷹山,越前岳,1504,標高点,静岡県,35.238057,138.794016,,1,,,越前岳,二百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
398,370,毛無山,けなしさん,毛無山,,1964,標高点,山梨県 静岡県,35.415833,138.543888,,1,,,,二百名山:自動(名前一致・距離0.0km・県一致),自動一致,
399,371,天子ヶ岳,てんしがたけ,天子ヶ岳,,1330,標高点,静岡県,35.329078,138.536708,,,,,,,その他,
400,372-1,箱根山,はこねやま,箱根山,神山,1438,三角点,神奈川県,35.233404,139.020872,,,1,,神山,三百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
401,372-2,金時山,きんときざん,箱根山,金時山,1212,三角点,静岡県 神奈川県,35.289673,139.004866,,,1,,箱根山,三百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
402,373,玄岳,くろたけ,玄岳,,798,三角点,静岡県,35.081670,139.028108,,,,,,,その他,
403,374,大室山,おおむろやま,大室山,,580,三角点,静岡県,34.903099,139.094653,,,,,,,その他,
404,375,天城山,あまぎさん,天城山,万三郎岳,1405,三角点,静岡県,34.862844,139.001803,1,,,,万三郎岳,百名山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
405,376,達磨山,だるまやま,達磨山,,982,三角点,静岡県,34.954989,138.839287,,,,,,,その他,
406,377,長九郎山,ちょうくろうやま,長九郎山,,996,三角点,静岡県,34.788372,138.867996,,,,,,,その他,
407,378,三原山（三原新山）,みはらやま（みはらしんざん）,三原山,三原新山,758,標高点,東京都,34.724493,139.394473,,,,,三原山/三原新山,,その他,
408,379,宮塚山,みやつかやま,宮塚山,,508,三角点,東京都,34.520410,139.279288,,,,,,,その他,
409,380,天上山,てんじょうさん,天上山,,572,三角点,東京都,34.219540,139.153171,,,,,,,その他,
410,381,雄山,おやま,雄山,,775,標高点,東京都,34.093581,139.526183,,,,,,,その他,
411,382,御山,おやま,御山,,851,三角点,東京都,33.874456,139.601835,,,,,,,その他,
412,383,西山（八丈富士）,にしやま（はちじょうふじ）,西山,,854,三角点,東京都,33.137040,139.766064,,,,,八丈富士,,その他,
413,384,硫黄山,いおうやま,硫黄山,,394,標高点,東京都,30.483860,140.302979,,,,,,,その他,
414,385,中央山,ちゅうおうざん,中央山,,319,三角点,東京都,27.073342,142.218704,,,,,,,その他,
