連番,索引番号,表示山名,表示よみ,地理院山名,山頂名,標高(m),種別,都道府県,緯度,経度,百名山,二百名山,三百名山,百高山,別名(検索用),照合方法,確認状態,備考
517,485,笠ヶ岳,かさがだけ,笠ヶ岳,,2897,三角点,岐阜県,36.315477,137.550401,1,,,1,,百名山:自動(名前一致・標高一致・県一致) / 百高山:自動(名前一致・よみ一致・標高一致・県一致),目視確認済,百名山: 岐阜の笠ヶ岳2897m(同名の笠ヶ岳304[群馬]とは別)
518,486,錫杖岳,しゃくじょうだけ,錫杖岳,,2168,標高点,岐阜県,36.281944,137.547222,,,,,,,その他,
519,487,硫黄岳,いおうだけ,硫黄岳,,2554,三角点,長野県,36.380614,137.650609,,,,,,,その他,
520,488,唐沢岳,からさわだけ,唐沢岳,,2632,三角点,長野県,36.461169,137.716737,,,,,,,その他,
521,489,餓鬼岳,がきだけ,餓鬼岳,,2647,三角点,長野県,36.447226,137.736029,,1,,,,二百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
522,490,燕岳,つばくろだけ,燕岳,,2763,三角点,長野県,36.406817,137.712756,,1,,1,,二百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致) / 百高山:自動(名前一致・よみ一致・標高一致),自動一致,
523,491,有明山,ありあけやま,有明山,,2268,三角点,長野県,36.391087,137.770678,,1,,,,二百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
524,492,大天井岳,おてんしょうだけ,大天井岳,,2922,三角点,長野県,36.364989,137.701124,,1,,1,,二百名山:自動(名前一致・標高一致・距離0.0km・県一致) / 百高山:自動(名前一致・標高一致・県一致),自動一致,
525,493,東天井岳,ひがしてんじょうだけ,東天井岳,,2814,標高点,長野県,36.353409,137.715563,,,,1,,百高山:自動(名前一致・よみ一致・標高一致),自動一致,
526,494,横通岳,よことおしだけ,横通岳,,2767,三角点,長野県,36.342610,137.726983,,,,1,,百高山:自動(名前一致・よみ一致・標高一致),自動一致,
527,495,常念岳,じょうねんだけ,常念岳,,2857,標高点,長野県,36.325524,137.727592,1,,,1,,百名山:自動(名前一致・よみ一致・標高一致・県一致) / 百高山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
528,496,蝶ヶ岳,ちょうがたけ,蝶ヶ岳,,2677,標高点,長野県,36.287421,137.726084,,,,1,,百高山:自動(名前一致・よみ一致・標高一致),自動一致,
529,497,大滝山,おおたきやま,大滝山,,2616,標高点,長野県,36.274092,137.743253,,,,,,,その他,
530,498,赤岩岳,あかいわだけ,赤岩岳,,2769,三角点,長野県,36.343339,137.684050,,,,1,,百高山:自動(名前一致・よみ一致・標高一致),自動一致,
531,499,西岳,にしだけ,西岳,,2758,標高点,長野県,36.337249,137.679658,,,,1,,百高山:自動(名前一致・よみ一致・標高一致),自動一致,
532,500,赤沢山,あかさわやま,赤沢山,,2670,三角点,長野県,36.329192,137.679755,,,,1,,百高山:自動(名前一致・よみ一致・標高一致),自動一致,
533,501,槍ヶ岳,やりがたけ,槍ヶ岳,,3180,標高点,長野県,36.342024,137.647643,1,,,1,,百名山:自動(名前一致・よみ一致・標高一致・県一致) / 百高山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
534,502,大喰岳,おおばみだけ,大喰岳,,3101,標高点,長野県 岐阜県,36.335859,137.646054,,,,1,,百高山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
535,503,中岳,なかだけ,中岳,,3084,標高点,長野県 岐阜県,36.329819,137.646699,,,,1,,百高山:手動,手動指定,百高山: 北アルプス(槍ヶ岳南)の中岳3084m。荒川中岳(577-1)と区別
536,504,南岳,みなみだけ,南岳,,3033,三角点,長野県 岐阜県,36.319012,137.650732,,,,1,,百高山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
537,505,北穂高岳,きたほたかだけ,北穂高岳,,3106,標高点,長野県 岐阜県,36.302540,137.652029,,,,1,,百高山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
538,506,涸沢岳,からさわだけ,涸沢岳,,3110,標高点,長野県 岐阜県,36.295845,137.647130,,,,1,,百高山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
539,507,穂高岳,ほたかだけ,奥穂高岳,,3190,標高点,長野県 岐阜県,36.289226,137.647988,1,,,1,奥穂高岳,百名山:自動(名前部分一致・標高一致・県一致) / 百高山:自動(名前一致・よみ一致・標高一致・県一致),目視確認済,百名山: 穂高岳の最高点=奥穂高岳3190m
540,508,前穂高岳,まえほたかだけ,前穂高岳,,3090,三角点,長野県,36.281979,137.660574,,,,1,,百高山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
541,509,西穂高岳,にしほたかだけ,西穂高岳,,2909,三角点,長野県 岐阜県,36.278994,137.629062,,,,1,,百高山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
542,510,焼岳,やけだけ,焼岳,,2455,三角点,長野県 岐阜県,36.226864,137.587067,1,,,,,百名山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
543,511,霞沢岳,かすみざわだけ,霞沢岳,,2646,三角点,長野県,36.221205,137.640601,,1,,,,二百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
544,512,十石山,じゅっこくやま,十石山,,2525,三角点,長野県 岐阜県,36.163593,137.590530,,,,,,,その他,
545,513,輝山,てらしやま,輝山,,2063,三角点,岐阜県,36.194134,137.522112,,,,,,,その他,
546,514,乗鞍岳,のりくらだけ,乗鞍岳,剣ヶ峰,3026,三角点,岐阜県 長野県,36.106487,137.553634,1,,,1,剣ヶ峰,百名山:自動(名前一致・よみ一致・標高一致・県一致) / 百高山:自動(名前一致・よみ一致・標高一致),自動一致,
547,515,鎌ヶ峰,かまがみね,鎌ヶ峰,,2121,三角点,長野県 岐阜県,36.026598,137.599091,,,,,,,その他,
548,516,鉢盛山,はちもりやま,鉢盛山,,2447,三角点,長野県,36.086649,137.754849,,,1,,,三百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
549,517,御嶽山,おんたけさん,御嶽山,剣ヶ峰,3067,測定点,長野県,35.893014,137.480439,1,,,1,剣ヶ峰,百名山:自動(名前一致・よみ一致・標高一致・県一致) / 百高山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
550,518,小秀山,こひでやま,小秀山,,1982,三角点,長野県 岐阜県,35.785438,137.397006,,1,,,,二百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
551,519,奥三界岳,おくさんがいだけ,奥三界岳,,1811,三角点,岐阜県 長野県,35.681606,137.507219,,,1,,,三百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
552,520,尾城山,おしろやま,尾城山,,1133,三角点,岐阜県,35.695967,137.343770,,,,,,,その他,
553,521,二ッ森山,ふたつもりやま,二ッ森山,,1223,三角点,岐阜県,35.571896,137.400381,,,,,,,その他,
554,522,経ヶ岳,きょうがたけ,経ヶ岳,,2296,三角点,長野県,35.912816,137.862633,,1,,,,二百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
555,523,大棚入山,おおだないりやま,大棚入山,,2375,三角点,長野県,35.848077,137.810099,,,,,,,その他,
556,524-1,将棊頭山,しょうぎがしらやま,将棊頭山,,2730,標高点,長野県,35.803393,137.827058,,,,1,,百高山:自動(名前一致・よみ一致・標高一致),自動一致,
557,524-2,将棊頭山（茶臼山）,しょうぎがしらやま（ちゃうすやま）,将棊頭山,茶臼山,2658,標高点,長野県,35.814920,137.821546,,,,,将棊頭山/茶臼山,,その他,
558,525-1,木曽駒ヶ岳,きそこまがたけ,駒ヶ岳,,2956,三角点,長野県,35.789550,137.804574,1,,,1,駒ヶ岳,百名山:自動(名前部分一致・標高一致・県一致) / 百高山:自動(名前部分一致・標高一致・県一致),目視確認済,百名山: 地理院は駒ヶ岳2956m(長野・木曽) / 百高山: 地理院は駒ヶ岳2956m(長野・木曽)
559,525-2,駒ヶ岳（宝剣岳）,こまがたけ（ほうけんだけ）,駒ヶ岳,宝剣岳,2931,標高点,長野県,35.781411,137.809181,,,,,駒ヶ岳/宝剣岳,,その他,
560,525-3,駒ヶ岳（麦草岳）,こまがたけ（むぎくさだけ）,駒ヶ岳,麦草岳,2733,標高点,長野県,35.796716,137.786056,,,,,駒ヶ岳/麦草岳,,その他,
561,526,三ノ沢岳,さんのさわだけ,三沢岳,,2847,三角点,長野県,35.766737,137.794028,,,,1,三沢岳,百高山:自動(よみ一致・標高一致・県一致),自動一致,
562,527,檜尾岳,ひのきおだけ,檜尾岳,,2728,三角点,長野県,35.751982,137.813288,,,,1,,百高山:自動(名前一致・よみ一致・標高一致),自動一致,
563,528,熊沢岳,くまざわだけ,熊沢岳,,2778,標高点,長野県,35.739330,137.803313,,,,1,,百高山:自動(名前一致・よみ一致・標高一致),自動一致,
564,529,東川岳,ひがしかわだけ,東川岳,,2671,標高点,長野県,35.725542,137.805523,,,,1,,百高山:自動(名前一致・よみ一致・標高一致),自動一致,
565,530,空木岳,うつぎだけ,空木岳,,2864,三角点,長野県,35.718979,137.817092,1,,,1,,百名山:自動(名前一致・よみ一致・標高一致・県一致) / 百高山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
566,531-1,南駒ヶ岳,みなみこまがたけ,南駒ヶ岳,,2841,標高点,長野県,35.701424,137.810742,,1,,1,,二百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致) / 百高山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
567,531-2,南駒ヶ岳（赤梛岳）,みなみこまがたけ（あかなぎだけ）,南駒ヶ岳,赤梛岳,2798,標高点,長野県,35.706333,137.815423,,,,,南駒ヶ岳/赤梛岳,,その他,
568,532,仙涯嶺,せんがいれい,仙涯嶺,,2734,標高点,長野県,35.692319,137.813596,,,,1,,百高山:自動(名前一致・よみ一致・標高一致),自動一致,
569,533,越百山,こすもやま,越百山,,2614,三角点,長野県,35.679414,137.803255,,,1,,,三百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
570,534,安平路山,あんぺいじやま,安平路山,,2363,三角点,長野県,35.630424,137.774372,,1,,,,二百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
571,535,摺古木山,すりこぎやま,摺古木山,,2169,三角点,長野県,35.612898,137.737595,,,,,,,その他,
572,536,南木曽岳,なぎそだけ,南木曽岳,,1679,標高点,長野県,35.592555,137.644409,,,1,,,三百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
573,537,風越山（権現山）,ふうえつざん（ごんげんやま）,風越山,,1535,三角点,長野県,35.549474,137.783810,,,,,権現山,,その他,
574,538,恵那山,えなさん,恵那山,,2191,標高点,長野県 岐阜県,35.443044,137.597891,1,,,,,百名山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
575,539,守屋山,もりやさん,守屋山,,1651,三角点,長野県,35.967516,138.093406,,,,,,,その他,
576,540,入笠山,にゅうがさやま,入笠山,,1955,三角点,長野県,35.896323,138.171603,,,1,,,三百名山:自動(名前一致・標高一致・距離0.0km・県一致),自動一致,
577,541,鋸岳,のこぎりだけ,鋸岳,,2685,標高点,山梨県 長野県,35.779000,138.210073,,1,,1,,二百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致) / 百高山:自動(名前一致・よみ一致・標高一致),自動一致,
578,542,甲斐駒ヶ岳,かいこまがたけ,駒ヶ岳,,2967,標高点,山梨県 長野県,35.758009,138.236688,1,,,1,駒ヶ岳,百名山:自動(名前部分一致・標高一致・県一致) / 百高山:自動(名前部分一致・標高一致・県一致),目視確認済,百名山: 地理院は駒ヶ岳2967m(山梨/長野) / 百高山: 地理院は駒ヶ岳2967m(山梨/長野)
579,543,駒津峰,こまつみね,駒津峰,,2752,標高点,山梨県 長野県,35.754680,138.230836,,,,1,,百高山:自動(名前一致・よみ一致・標高一致),自動一致,
580,544,双児山,ふたごやま,双児山,,2649,標高点,山梨県 長野県,35.750668,138.221499,,,,,,,その他,
581,545-1,アサヨ峰,あさよみね,アサヨ峰,,2799,三角点,山梨県,35.731697,138.241327,,,1,1,,三百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致) / 百高山:自動(名前一致・よみ一致・標高一致),自動一致,
582,545-2,アサヨ峰（栗沢山）,あさよみね（くりさわやま）,アサヨ峰,栗沢山,2714,標高点,山梨県,35.737895,138.234230,,,,,アサヨ峰/栗沢山,,その他,
583,546,高嶺,たかみね,高嶺,,2779,三角点,山梨県,35.709766,138.287708,,,,1,,百高山:自動(名前一致・標高一致),自動一致,
584,547,地蔵岳（鳳凰山）,じぞうだけ,地蔵ヶ岳,,2764,標高点,山梨県,35.712020,138.298738,,,,1,地蔵ヶ岳,百高山:手動,手動指定,百高山: 鳳凰山の地蔵ヶ岳2764m
585,548,鳳凰山,ほうおうざん,観音ヶ岳,,2841,三角点,山梨県,35.701730,138.304594,1,,,1,観音ヶ岳/観音岳（鳳凰山）,百名山:自動(標高一致・県一致) / 百高山:自動(標高一致・県一致),目視確認済,百名山: 鳳凰山の最高点=観音ヶ岳2841m(百名山の表は2840m) / 百高山: 表記違い: 観音岳=観音ヶ岳
586,549,薬師岳（鳳凰山）,やくしだけ,薬師ヶ岳,,2780,標高点,山梨県,35.695922,138.311643,,,,1,薬師ヶ岳,百高山:手動,手動指定,百高山: 鳳凰山の薬師ヶ岳2780m
587,550,辻山,つじやま,辻山,,2585,三角点,山梨県,35.676284,138.321986,,,,,,,その他,
588,551,櫛形山,くしがたやま,櫛形山,,2052,三角点,山梨県 長野県,35.586693,138.369208,,1,,,,二百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
589,552,仙丈岳,せんじょうだけ,仙丈ヶ岳,,3033,三角点,山梨県 長野県,35.720069,138.183581,1,,,1,仙丈ヶ岳,百名山:手動 / 百高山:自動(名前一致・よみ一致・標高一致・県一致),手動指定,百名山: 仙丈ヶ岳3033m(同標高の南岳と区別)
590,553,伊那荒倉岳,いなあらくらだけ,伊那荒倉岳,,2519,標高点,山梨県 長野県,35.689141,138.193859,,,,,,,その他,
591,554,小太郎山,こたろうやま,小太郎山,,2725,三角点,山梨県,35.700818,138.239996,,,,1,,百高山:自動(名前一致・よみ一致・標高一致),自動一致,
592,555,北岳,きただけ,北岳,,3193,測定点,山梨県,35.674314,138.238828,1,,,1,,百名山:自動(名前一致・よみ一致・標高一致・県一致) / 百高山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
593,556,間ノ岳,あいのだけ,間ノ岳,,3190,三角点,山梨県 静岡県,35.646012,138.228324,1,,,1,,百名山:自動(名前一致・標高一致・県一致) / 百高山:自動(名前一致・標高一致・県一致),自動一致,
594,557-1,農鳥岳（西農鳥岳）,のうとりだけ,農鳥岳,西農鳥岳,3051,標高点,山梨県 静岡県,35.624763,138.230322,,,,1,農鳥岳/西農鳥岳,百高山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
595,557-2,農鳥岳,のうとりだけ,農鳥岳,,3026,三角点,山梨県 静岡県,35.621151,138.236857,,1,,,,二百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
596,558,大唐松山,おおからまつやま,大唐松山,,2561,標高点,山梨県,35.621582,138.269444,,,,,,,その他,
597,559,広河内岳,ひろごうちだけ,広河内岳,,2895,標高点,山梨県 静岡県,35.606013,138.235839,,,,1,,百高山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
598,560,大籠岳,おおこもりだけ,大籠岳,,2767,三角点,山梨県 静岡県,35.593077,138.243406,,,,1,,百高山:自動(名前一致・よみ一致・標高一致),自動一致,
599,561,笹山,ささやま,笹山,,2733,標高点,山梨県 静岡県,35.571069,138.243995,,,,1,,百高山:自動(名前一致・よみ一致・標高一致),自動一致,
600,562,黒檜山,くろべいやま,黒檜山,,2541,三角点,長野県,35.644563,138.186112,,,,,,,その他,
601,563,安倍荒倉岳,あべあらくらだけ,安倍荒倉岳,,2693,三角点,長野県 静岡県,35.623059,138.202969,,,,1,,百高山:自動(名前一致・よみ一致・標高一致),自動一致,
602,564,新蛇抜山,しんじゃぬけやま,新蛇抜山,,2667,標高点,長野県 静岡県,35.607158,138.205353,,,,1,,百高山:自動(名前一致・よみ一致・標高一致),自動一致,
603,565,北荒川岳,きたあらかわだけ,北荒川岳,,2698,三角点,長野県,35.594694,138.194535,,,,1,,百高山:自動(名前一致・よみ一致・標高一致),自動一致,
604,566,塩見岳,しおみだけ,塩見岳,,3052,標高点,長野県 静岡県,35.573139,138.183636,1,,,1,,百名山:自動(名前一致・よみ一致・標高一致・県一致) / 百高山:自動(名前一致・よみ一致・標高近い(5m)・県一致),自動一致,
605,567,蝙蝠岳,こうもりだけ,蝙蝠岳,,2865,三角点,静岡県,35.556928,138.207315,,,,1,,百高山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
606,568,徳右衛門岳,とくえもんだけ,徳右衛門岳,,2599,三角点,静岡県,35.539425,138.226457,,,,,,,その他,
607,569,本谷山,ほんたにやま,本谷山,,2658,三角点,長野県 静岡県,35.570922,138.151673,,,,,,,その他,
608,570,戸倉山（伊那富士）,とくらやま（いなふじ）,戸倉山,,1681,三角点,長野県,35.745036,138.051972,,,,,伊那富士,,その他,
609,571,烏帽子岳,えぼしだけ,烏帽子岳,,2726,標高点,長野県 静岡県,35.553537,138.153424,,,,1,,百高山:自動(名前一致・よみ一致・標高一致),自動一致,
610,572,小河内岳,おごうちだけ,小河内岳,,2802,三角点,長野県 静岡県,35.537741,138.153049,,,,1,,百高山:自動(名前一致・標高一致),自動一致,
611,573,小日影山,こひかげやま,小日影山,,2506,三角点,長野県,35.525151,138.126357,,,,,,,その他,
612,574,大日影山,おおひかげやま,大日影山,,2573,標高点,長野県 静岡県,35.522162,138.138316,,,,,,,その他,
613,575,板屋岳,いたやだけ,板屋岳,,2646,標高点,長野県 静岡県,35.517883,138.146078,,,,,,,その他,
614,576,悪沢岳,わるさわだけ,東岳,,3141,標高点,静岡県,35.500735,138.182477,1,,,1,東岳（悪沢岳）/悪沢岳（荒川東岳）,百名山:自動(標高一致・県一致) / 百高山:自動(標高一致・県一致),目視確認済,百名山: 表記違い: 悪沢岳=東岳(悪沢岳) / 百高山: 表記違い: 悪沢岳=東岳(悪沢岳)
615,577-1,中岳（荒川中岳）,なかだけ,荒川岳,中岳,3084,三角点,静岡県,35.496573,138.167067,,,,1,荒川岳/中岳,百高山:手動,手動指定,百高山: 南アルプス荒川三山の中岳3084m
616,577-2,荒川岳（前岳）,あらかわだけ（まえだけ）,荒川岳,前岳,3068,標高点,長野県 静岡県,35.494059,138.164102,,,,,荒川岳/前岳,,その他,
617,578,赤石岳,あかいしだけ,赤石岳,,3121,三角点,長野県 静岡県,35.461206,138.157360,1,,,1,,百名山:自動(名前一致・よみ一致・標高一致・県一致) / 百高山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
618,579,奥茶臼山,おくちゃうすやま,奥茶臼山,,2474,三角点,長野県,35.484968,138.069075,,,1,,,三百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
619,580,鬼面山,きめんざん,鬼面山,,1890,三角点,長野県,35.492011,137.990161,,,,,,,その他,
620,581,大沢岳,おおさわだけ,大沢岳,,2820,三角点,長野県 静岡県,35.448905,138.120176,,,,1,,百高山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
621,582,中盛丸山,なかもりまるやま,中盛丸山,,2807,標高点,長野県 静岡県,35.442813,138.122020,,,,1,,百高山:自動(名前一致・よみ一致・標高一致),自動一致,
622,583,兎岳,うさぎだけ,兎岳,,2818,標高点,長野県 静岡県,35.428589,138.121216,,,,1,,百高山:自動(名前一致・よみ一致・標高一致),自動一致,
623,584,聖岳,ひじりだけ,聖岳,前聖岳,3013,標高点,長野県 静岡県,35.422540,138.139629,1,,,1,前聖岳,百名山:自動(名前一致・よみ一致・標高一致・県一致) / 百高山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
624,585,上河内岳,かみ2こうちだけ,上河内岳,,2803,三角点,静岡県,35.389619,138.152812,,1,,1,,二百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致) / 百高山:自動(名前一致・よみ一致・標高一致),自動一致,
625,586,茶臼岳,ちゃうすだけ,茶臼岳,,2604,標高点,長野県 静岡県,35.369166,138.140555,,,1,,,三百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
626,587,仁田岳,にっただけ,仁田岳,,2524,三角点,静岡県,35.360730,138.127095,,,,,,,その他,
627,588,光岳,てかりだけ,光岳,,2592,三角点,静岡県 長野県,35.338176,138.083779,1,,,,,百名山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
628,589,池口岳,いけぐちだけ,池口岳,,2392,標高点,長野県 静岡県,35.330208,138.038327,,1,,,,二百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
629,590,白倉山,しらくらやま,白倉山,,1851,標高点,長野県 静岡県,35.301704,137.992100,,,,,,,その他,
630,591,熊伏山,くまぶしやま,熊伏山,,1654,三角点,長野県,35.263241,137.894893,,,1,,,三百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
631,592,大無間山,だいむげんざん,大無間山,,2330,三角点,静岡県,35.255979,138.161548,,1,,,,二百名山:自動(名前一致・標高一致・距離0.0km・県一致),自動一致,
632,593,不動岳,ふどうがたけ,不動岳,,2172,三角点,静岡県,35.235462,138.041108,,,,,,,その他,
633,594,黒法師岳,くろぼうしがたけ,黒法師岳,,2068,三角点,静岡県,35.196168,138.029391,,,1,,,三百名山:自動(名前一致・標高一致・距離0.0km・県一致),自動一致,
634,595,蕎麦粒山,そばつぶやま,蕎麦粒山,,1627,三角点,静岡県,35.126094,138.035381,,,,,,,その他,
635,596,高塚山,たかつかやま,高塚山,,1621,三角点,静岡県,35.115464,138.003663,,,1,,,三百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
636,597,京丸山,きょうまるやま,京丸山,,1469,三角点,静岡県,35.096002,137.965929,,,,,,,その他,
637,598,秋葉山,あきはさん,秋葉山,,885,標高点,静岡県,34.981773,137.866006,,,,,,,その他,
638,599,八高山,はっこうさん,八高山,,832,三角点,静岡県,34.907436,138.056682,,,,,,,その他,
639,600,笊ヶ岳,ざるがたけ,笊ヶ岳,,2629,三角点,山梨県 静岡県,35.424158,138.259490,,1,,,,二百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
640,601,布引山,ぬのびきやま,布引山,,2584,三角点,山梨県 静岡県,35.408473,138.258230,,,,,,,その他,
641,602,青薙山,あおなぎやま,青薙山,,2406,三角点,静岡県,35.369769,138.228743,,,,,,,その他,
642,603,身延山,みのぶさん,身延山,,1153,標高点,山梨県,35.397436,138.416295,,,,,,,その他,
643,604,七面山,しちめんざん,七面山,,1989,標高点,山梨県,35.369212,138.348906,,1,,,,二百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
644,605,山伏,やんぶし,山伏,,2013,三角点,山梨県 静岡県,35.304335,138.285269,,,1,,,三百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
645,606,十枚山,じゅうまいざん,十枚山,,1726,標高点,静岡県 山梨県,35.253666,138.377944,,,,,,,その他,
646,607,篠井山,しのいさん,篠井山,,1394,三角点,山梨県,35.247721,138.426477,,,,,,,その他,
647,608,高ドッキョウ,たかどっきょう,高ドッキョウ,,1133,三角点,山梨県 静岡県,35.178497,138.438008,,,,,,,その他,
648,609,竜爪山,りゅうそうざん,竜爪山,,1051,標高点,静岡県,35.088344,138.403590,,,,,,,その他,
649,610,久能山,くのうざん,久能山,,216,標高点,静岡県,34.966111,138.468055,,,,,,,その他,
650,611,茶臼山,ちゃうすやま,茶臼山,,1416,三角点,長野県 愛知県,35.227555,137.655539,,,,,,,その他,
651,612,鷹ノ巣山,たかのすやま,鷹ノ巣山,,1153,三角点,愛知県,35.152597,137.494962,,,,,,,その他,
652,613,鳳来寺山,ほうらいじさん,鳳来寺山,,695,標高点,愛知県,34.984020,137.582800,,,,,,,その他,
653,614,本宮山,ほんぐうさん,本宮山,,789,三角点,愛知県,34.909795,137.420576,,,,,,,その他,
654,615,猿投山,さなげやま,猿投山,,629,三角点,愛知県,35.205909,137.166823,,,,,,,その他,
655,616,金華山,きんかざん,金華山,,329,三角点,岐阜県,35.433440,136.781498,,,,,,,その他,
656,617,宝立山,ほうりゅうざん,宝立山,,471,標高点,石川県,37.428571,137.162548,,,,,,,その他,
657,618,鉢伏山,はちぶせやま,鉢伏山,,544,三角点,石川県,37.377754,136.970920,,,,,,,その他,
658,619,石動山,せきどうさん,石動山,,564,標高点,石川県,36.965562,136.971012,,,,,,,その他,
659,620,宝達山,ほうだつさん,宝達山,,637,三角点,石川県,36.781920,136.813035,,,,,,,その他,
660,621,二上山,ふたがみやま,二上山,,274,標高点,富山県,36.790002,137.015378,,,,,,,その他,
661,622,牛岳,うしだけ,牛岳,,987,三角点,富山県,36.541225,137.031773,,,,,,,その他,
662,623,白木峰,しらきみね,白木峰,,1596,標高点,富山県 岐阜県,36.415461,137.112128,,,1,,,三百名山:自動(名前一致・標高一致・距離0.0km・県一致),自動一致,
663,624,金剛堂山,こんごうどうざん,金剛堂山,,1650,標高点,富山県,36.378888,137.048888,,1,,,,二百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
664,625,人形山,にんぎょうやま,人形山,,1726,標高点,岐阜県 富山県,36.349016,136.939729,,,1,,,三百名山:自動(名前一致・標高一致・距離0.0km・県一致),自動一致,
665,626,三ヶ辻山,みつがつじやま,三ヶ辻山,,1764,三角点,岐阜県,36.337995,136.949927,,,,,,,その他,
666,627,猿ヶ馬場山,さるが2ばんばやま,猿ヶ馬場山,,1875,標高点,岐阜県,36.225951,136.942873,,,1,,,三百名山:自動(名前一致・標高一致・距離0.0km・県一致),自動一致,
667,628,御前岳,ごぜんだけ,御前岳,,1816,三角点,岐阜県,36.198158,136.960190,,,,,,,その他,
668,629,大雨見山,おおあまみやま,大雨見山,,1336,三角点,岐阜県,36.253396,137.298483,,,,,,,その他,
669,630,位山,くらいやま,位山,,1529,三角点,岐阜県,36.038230,137.196696,,1,,,,二百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
670,631,川上岳,2かおれだけ,川上岳,,1625,三角点,岐阜県,36.008214,137.149580,,,1,,,三百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
671,632,鷲ヶ岳,わしがたけ,鷲ヶ岳,,1671,三角点,岐阜県,35.940342,136.971464,,,1,,,三百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
672,633,八乙女山,やおとめやま,八乙女山,,756,標高点,富山県,36.540242,136.983162,,,,,,,その他,
673,634,高清水山,たかしょうずやま,高清水山,,1145,標高点,富山県,36.477349,136.942978,,,,,,,その他,
674,635,医王山,いおうぜん,医王山,奥医王山,939,三角点,富山県 石川県,36.512764,136.796013,,,1,,奥医王山,三百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
675,636,口三方岳,くちさんぼうだけ,口三方岳,,1269,三角点,石川県,36.373199,136.715502,,,,,,,その他,
676,637,高三郎山,たかさぶろうやま,高三郎山,,1445,標高点,石川県,36.371111,136.773611,,,,,,,その他,
677,638,大門山,だいもんざん,大門山,,1571,三角点,富山県 石川県,36.365221,136.803690,,,1,,,三百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
678,639,大笠山,おおがさやま,大笠山,,1822,三角点,富山県 石川県,36.320450,136.789588,,,1,,,三百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
