連番,索引番号,山名＜山頂名＞,山名よみ＜山頂名よみ＞,標高値(m),種別,都道府県,緯度,経度
212,204-1,蔵王山＜熊野岳＞,ざおうざん（ざおうさん）＜くまのだけ＞,1841,測定点,山形県,38.143878,140.439741
213,204-2,蔵王山＜刈田岳＞,ざおうざん（ざおうさん）＜かっただけ＞,1758,三角点,宮城県,38.127754,140.448187
214,204-3,蔵王山＜?風岳＞,ざおうざん（ざおうさん）＜びょうぶだけ＞,1825,標高点,宮城県,38.095707,140.476135
215,204-4,蔵王山＜不忘山（御前岳）＞,ざおうざん（ざおうさん）＜ふぼうさん（おまえだけ）＞,1705,三角点,宮城県,38.075661,140.478859
216,205,青麻山,あおそやま,799,三角点,宮城県,38.084769,140.607578
217,206,栗子山,くりこやま,1217,三角点,福島県 山形県,37.874343,140.269967
218,207,信夫山,しのぶやま,275,測定点,福島県,37.770714,140.46159
219,208-1,西吾妻山,にしあづまやま,2035,標高点,福島県 山形県,37.73814,140.1408
220,208-2,西吾妻山＜西大巓＞,にしあづまやま＜にしだいてん＞,1982,標高点,山形県 福島県,37.733973,140.12769
221,208-3,西吾妻山＜東大巓＞,にしあづまやま＜ひがしだいてん＞,1928,三角点,福島県 山形県,37.754466,140.188764
222,209-1,東吾妻山,ひがしあづまやま,1975,三角点,福島県,37.711673,140.230302
223,209-2,東吾妻山＜一切経山＞,ひがしあづまやま＜いっさいきょうざん＞,1949,三角点,福島県,37.735364,140.244343
224,209-3,東吾妻山＜吾妻小富士＞,ひがしあづまやま＜あづまこふじ＞,1707,標高点,福島県,37.722134,140.263596
225,210,箕輪山,みのわやま,1728,標高点,福島県,37.647091,140.280908
226,211-1,安達太良山＜鉄山＞,あだたらやま＜てつざん＞,1709,測定点,福島県,37.633051,140.283175
227,211-2,安達太良山,あだたらやま,1700,三角点,福島県,37.621123,140.287891
228,212,磐梯山,ばんだいさん,1816,三角点,福島県,37.600975,140.072248
229,213,高館山,たかだてやま,273,三角点,山形県,38.762963,139.747502
230,214,金峯山,きんぼうざん,471,標高点,山形県,38.682144,139.798184
231,215,羽黒山,はぐろさん,414,標高点,山形県,38.702594,139.982693
232,216,月山,がっさん,1984,標高点,山形県,38.549136,140.026971
233,217,葉山,はやま,1462,三角点,山形県,38.529262,140.210522
234,218,温海岳,あつみだけ,735,三角点,山形県,38.62013,139.630738
235,219,摩耶山,まやさん,1020,三角点,山形県,38.520194,139.727851
236,220,以東岳,いとうだけ,1772,三角点,山形県 新潟県,38.342954,139.849062
237,221,朝日岳＜大朝日岳＞,あさひだけ＜おおあさひだけ＞,1870,三角点,山形県,38.260533,139.922321
238,222,祝瓶山,いわいがめやま,1417,三角点,山形県,38.19761,139.879609
239,223,鷲ヶ巣山,わしがすやま,1093,三角点,新潟県,38.221927,139.668993
240,224,新保岳,しんぼだけ,852,三角点,新潟県,38.361136,139.510815
241,225,白鷹山,しらたかやま,994,標高点,山形県,38.222663,140.173121
242,226,?差岳,えぶりさしだけ,1636,三角点,新潟県,37.942611,139.608833
243,227,北股岳,きたまただけ,2025,三角点,新潟県 山形県,37.879955,139.638576
244,228,飯豊山,いいでさん,2105,三角点,福島県,37.854831,139.70711
245,229,大日岳,だいにちだけ,2128,標高点,新潟県,37.833203,139.660672
246,230,二王子岳,にのうじだけ,1420,三角点,新潟県,37.899648,139.499151
247,231,五頭山,ごずさん,912,三角点,新潟県,37.800974,139.345673
248,232,高陽山,こうようさん,1126,三角点,福島県 新潟県,37.729076,139.649601
249,233,飯森山,いいもりやま,1595,三角点,山形県 福島県,37.813858,139.9256
